"Kod";"Nazwa";"Pojazdy";"Rodzaje paliwa";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1201000;"Powiat bocheński";"autobusy";"olej napędowy";"2017";277;"szt.";"";
1201000;"Powiat bocheński";"autobusy";"olej napędowy";"2018";309;"szt.";"";
1201000;"Powiat bocheński";"autobusy";"olej napędowy";"2019";326;"szt.";"";
1201000;"Powiat bocheński";"autobusy";"gaz (LPG)";"2015";1;"szt.";"";
1201000;"Powiat bocheński";"autobusy";"gaz (LPG)";"2016";1;"szt.";"";
1201000;"Powiat bocheński";"autobusy";"gaz (LPG)";"2017";1;"szt.";"";
1201000;"Powiat bocheński";"autobusy";"gaz (LPG)";"2018";1;"szt.";"";
1201000;"Powiat bocheński";"autobusy";"gaz (LPG)";"2019";1;"szt.";"";
1201000;"Powiat bocheński";"autobusy";"pozostałe";"2015";37;"szt.";"";
1201000;"Powiat bocheński";"autobusy";"pozostałe";"2016";37;"szt.";"";
1201000;"Powiat bocheński";"autobusy";"pozostałe";"2017";39;"szt.";"";
1201000;"Powiat bocheński";"autobusy";"pozostałe";"2018";40;"szt.";"";
1201000;"Powiat bocheński";"autobusy";"pozostałe";"2019";41;"szt.";"";
1201000;"Powiat bocheński";"ciągniki siodłowe";"benzyna";"2015";0;"szt.";"";
1201000;"Powiat bocheński";"ciągniki siodłowe";"benzyna";"2016";0;"szt.";"";
1201000;"Powiat bocheński";"ciągniki siodłowe";"benzyna";"2017";0;"szt.";"";
1201000;"Powiat bocheński";"ciągniki siodłowe";"benzyna";"2018";0;"szt.";"";
1201000;"Powiat bocheński";"ciągniki siodłowe";"benzyna";"2019";0;"szt.";"";
1201000;"Powiat bocheński";"ciągniki siodłowe";"olej napędowy";"2015";429;"szt.";"";
1201000;"Powiat bocheński";"ciągniki siodłowe";"olej napędowy";"2016";471;"szt.";"";
1201000;"Powiat bocheński";"ciągniki siodłowe";"olej napędowy";"2017";505;"szt.";"";
1201000;"Powiat bocheński";"ciągniki siodłowe";"olej napędowy";"2018";550;"szt.";"";
1201000;"Powiat bocheński";"ciągniki siodłowe";"olej napędowy";"2019";607;"szt.";"";
1201000;"Powiat bocheński";"ciągniki siodłowe";"gaz (LPG)";"2015";2;"szt.";"";
1201000;"Powiat bocheński";"ciągniki siodłowe";"gaz (LPG)";"2016";2;"szt.";"";
1201000;"Powiat bocheński";"ciągniki siodłowe";"gaz (LPG)";"2017";2;"szt.";"";
1201000;"Powiat bocheński";"ciągniki siodłowe";"gaz (LPG)";"2018";2;"szt.";"";
1201000;"Powiat bocheński";"ciągniki siodłowe";"gaz (LPG)";"2019";2;"szt.";"";
1201000;"Powiat bocheński";"ciągniki siodłowe";"pozostałe";"2015";97;"szt.";"";
1201000;"Powiat bocheński";"ciągniki siodłowe";"pozostałe";"2016";97;"szt.";"";
1201000;"Powiat bocheński";"ciągniki siodłowe";"pozostałe";"2017";101;"szt.";"";
1201000;"Powiat bocheński";"ciągniki siodłowe";"pozostałe";"2018";104;"szt.";"";
1201000;"Powiat bocheński";"ciągniki siodłowe";"pozostałe";"2019";110;"szt.";"";
1202000;"Powiat brzeski";"samochody osobowe";"benzyna";"2015";16064;"szt.";"";
1202000;"Powiat brzeski";"samochody osobowe";"benzyna";"2016";16864;"szt.";"";
1202000;"Powiat brzeski";"samochody osobowe";"benzyna";"2017";17682;"szt.";"";
1202000;"Powiat brzeski";"samochody osobowe";"benzyna";"2018";18015;"szt.";"";
1202000;"Powiat brzeski";"samochody osobowe";"benzyna";"2019";18702;"szt.";"";
1202000;"Powiat brzeski";"samochody osobowe";"olej napędowy";"2015";14496;"szt.";"";
1202000;"Powiat brzeski";"samochody osobowe";"olej napędowy";"2016";15860;"szt.";"";
1202000;"Powiat brzeski";"samochody osobowe";"olej napędowy";"2017";16903;"szt.";"";
1202000;"Powiat brzeski";"samochody osobowe";"olej napędowy";"2018";18093;"szt.";"";
1202000;"Powiat brzeski";"samochody osobowe";"olej napędowy";"2019";18923;"szt.";"";
1202000;"Powiat brzeski";"samochody osobowe";"gaz (LPG)";"2015";8023;"szt.";"";
1202000;"Powiat brzeski";"samochody osobowe";"gaz (LPG)";"2016";8153;"szt.";"";
1202000;"Powiat brzeski";"samochody osobowe";"gaz (LPG)";"2017";7940;"szt.";"";
1202000;"Powiat brzeski";"samochody osobowe";"gaz (LPG)";"2018";8382;"szt.";"";
1202000;"Powiat brzeski";"samochody osobowe";"gaz (LPG)";"2019";8487;"szt.";"";
1202000;"Powiat brzeski";"samochody osobowe";"pozostałe";"2015";7544;"szt.";"";
1202000;"Powiat brzeski";"samochody osobowe";"pozostałe";"2016";7494;"szt.";"";
